CATÁLOGO DE CÓDIGOS CRÍTICOS IDENTIFICADOS (PREFILTRO)
============================================================

 Code                                  Message        Status  Failure_Frequency
  710                             Battery test          Stop                200
 6525                      4-20mA anemometer 2       Warning                174
 6635                           4-20 mA vane 2       Warning                174
 6052                   High yaw motor current       Warning                157
 6530                        Anemometer defect          Stop                 75
 6200                         Cable autounwind          Stop                 59
   20                    Manual stop - on site          Stop                 57
 9997           Data communication unavailable Communication                 44
 2125                     Timeout brake closed       Warning                 41
 5760         Hydraulic oil flushing operation          Stop                 37
 5720                 Brake accumulator defect       Warning                 35
 8400                        Comm. failure FPM       Warning                 33
 6054                                 Easy yaw       Warning                 27
 3500                                Grid loss          Stop                 24
   25                Manual stop without login          Stop                 16
  675              Pitch measuring system 1><2       Warning                 14
 5000                 Breakdown obstacle light       Warning                 14
  440                     Repeating error BP 0       Warning                 11
   21                     Manual stop - remote          Stop                 10
  697                  Timeout B sensor active       Warning                 10
  716        Battery charge cycle axis 1 error       Warning                  9
  717        Battery charge cycle axis 2 error       Warning                  9
  718        Battery charge cycle axis 3 error       Warning                  9
  720           Pitch batteries charging cycle       Warning                  9
 2674               Overload generator heating       Warning                  9
   61                             Wind < power          Stop                  8
 1810                    Overload gear heating       Warning                  8
 3000            Frequency converter not ready          Stop                  8
  455                     Repeating error BP52          Stop                  7
 4540              Tower oscillation X level 2          Stop                  7
  210                             Manual brake          Stop                  6
  707                        Stop battery test          Stop                  6
 4510              Tower oscillation Y level 1          Stop                  6
 5510                   Low hydraulic pressure          Stop                  6
 8000                         Park master stop          Stop                  6
   59                        Max. acceleration       Warning                  5
   68            Deviation winddirection > 60°          Stop                  5
 2550                 Overload generator fan 1       Warning                  5
 6540                       Icing (anemometer)          Stop                  5
 7325           Time sync. failed (SNTP error)       Warning                  5
  785                 Error brake resistor CHP       Warning                  4
 4520              Tower oscillation X level 1          Stop                  4
 7324               Check time synchronization       Warning                  4
 3125             Timeout ready for connection          Stop                  3
 6620                              Vane defect          Stop                  3
 6622                            Vane 2 defect       Warning                  3
 6682               Icing (dev. electr. power)       Warning                  3
 6690                             Icing (stop)          Stop                  3
  681            Limit switch error 95° axis 1       Warning                  2
  683            Limit switch error 95° axis 3       Warning                  2
 3110                Frequency converter error          Stop                  2
 4500                          Tower resonance          Stop                  2
 4530              Tower oscillation Y level 2          Stop                  2
  100                        Safety chain open          Stop                  1
  682            Limit switch error 95° axis 2       Warning                  1
 1070              Drive train monitor level 2          Stop                  1
 2000                          Brake pads worn       Warning                  1
 2650                 Overload generator fan 2       Warning                  1
 3160                           Cable overload       Warning                  1
 3205 PT100 converter inlet temperature defect       Warning                  1
 3220                  Reduced power converter       Warning                  1
 3870      Overload transformer fan outlet air       Warning                  1
 4600              PT100 base box temp. defect       Warning                  1
 4607              Heating/fan base box faulty       Warning                  1
 6120                Uncontrolled yaw movement          Stop                  1
 6515                      4-20mA anemometer 1       Warning                  1
